,Rainfall,Depth_to_Groundwater,Temperature,Drainage_Volume,River_Hydrometry
RMSE,18.02122892605715,25.244516189040212,2.867269907518051,191731.02846522038,0.2174076263394733
MAE,12.14280652999878,25.215838931323717,2.335518455200926,190940.5708032841,0.18284353947315993
MAPE,inf,99.057814340149,19.788413525759275,99.99558444758848,7.313009863404546
